time,milk,daily,vegtable,chocalate,disposable,small_bottal,drink,nut,cotton,present,china_wine,yogurt,apple,cases_pdf
2020-01-01,4738,7183,6124,722,477,958,1841,2784,538,147,573,3327,5814,0.0
2020-01-02,4547,7586,6044,859,469,1543,1919,6913,587,259,1110,3587,6291,0.0
2020-01-03,4603,7279,5950,746,473,1568,1808,2564,791,183,727,3670,6364,0.0
2020-01-04,4967,7149,7544,1091,119,57,2362,2827,397,147,1077,4073,6283,0.0
2020-01-05,5361,7700,7823,1083,247,74,2457,2901,439,144,702,4484,6005,0.0
2020-01-06,5108,7017,10264,1122,263,41,1969,4038,431,154,754,4174,5797,0.0
2020-01-07,5050,6842,7395,979,307,45,2392,2613,387,145,728,3490,5911,0.0
2020-01-08,7002,7235,8632,1514,78,40,3476,3755,455,132,804,5730,8045,0.0
2020-01-09,5859,7602,10316,1056,87,46,3133,2747,474,121,797,4648,5868,0.0
2020-01-10,974,5944,3144,424,1138,9,601,1320,1072,103,858,896,1162,0.0
2020-01-11,1220,38217,2982,590,1572,12,749,1254,1176,53,805,961,1486,0.0
2020-01-12,1312,37173,2647,558,2036,13,774,1285,1084,64,585,1014,1576,0.0
2020-01-13,1298,14849,2939,572,3835,7,664,1499,990,58,519,1350,1662,0.0
2020-01-14,574,8306,1013,315,84,4,291,909,836,20,602,494,495,0.0
2020-01-15,686,3848,3563,426,94,7,317,1004,1018,41,805,603,852,0.0
2020-01-16,807,3757,15407,404,553,9,466,1192,1057,32,601,761,1025,0.0
2020-01-17,754,4034,6091,389,651,7,517,1112,925,57,750,713,1143,0.0
2020-01-18,325,1882,127,185,29,12,250,824,795,27,741,351,221,0.0
2020-01-19,450,5577,366,278,59,2,235,777,911,19,663,432,327,0.0
2020-01-20,6575,3955,2769,5604,285,1,4412,25894,19525,105,7891,6635,7405,0.0
2020-01-21,8642,4648,2724,5988,328,5,5451,29934,22463,265,8913,8127,8004,0.0
2020-01-22,3574,2474,1433,2945,165,12,2119,13581,10819,86,4699,3674,3941,103.0
2020-01-23,5680,3259,2579,4436,215,19,3687,21116,18383,101,7572,6079,7200,195.0
2020-01-24,1756,1735,545,1203,67,12,961,5446,4042,80,2556,1405,1445,367.0
2020-01-25,2788,1998,964,1858,114,8,1468,8303,6731,67,3107,2478,2414,638.0
2020-01-26,810,2366,355,573,45,14,541,2406,1689,41,1244,879,667,1004.0
2020-01-27,1144,2076,473,805,59,17,635,3382,2527,60,1813,1097,996,1440.0
2020-01-28,8831,4699,3137,6929,384,2,4908,29015,26592,358,8981,7698,7638,1940.0
2020-01-29,9953,4782,3920,7030,366,5,4813,30135,28302,374,9216,8030,8417,2516.0
2020-01-30,24723,6713,3487,12276,540,13,9236,49173,42513,1489,18132,22513,9058,3221.0
2020-01-31,20432,6722,3215,11717,548,4,8029,47673,38642,1269,16003,19149,9171,3977.0
2020-02-01,4203,8574,15613,1106,1162,101,1991,2903,877,390,656,2774,5373,4718.0
2020-02-02,4550,7435,7563,915,1505,27,2366,2617,572,450,763,2977,6245,5430.0
2020-02-03,3424,7697,8982,1228,1090,155,1728,2583,655,293,584,2159,4678,6171.0
2020-02-04,6857,8650,8170,865,465,120,2490,3034,766,206,584,4567,5002,7002.0
2020-02-05,6075,8623,7593,1012,422,77,2236,3292,771,135,678,4599,5028,7744.0
2020-02-06,4252,8401,10394,1055,668,83,2534,2856,935,106,584,2921,5368,8441.0
2020-02-07,7449,9304,10785,1014,1138,149,2867,4094,1049,146,699,6112,6569,9122.0
2020-02-08,6954,8756,7388,940,313,114,2341,3164,1053,150,576,5372,5301,9678.0
2020-02-09,10030,9632,9709,1152,613,110,3761,4827,777,189,857,8563,6851,10159.0
2020-02-10,8774,8891,6543,1101,176,35,3248,3763,127,135,862,6052,7419,10578.0
2020-02-11,6043,8412,5463,861,114,42,2800,2858,99,98,655,4517,5127,10961.0
2020-02-12,8201,8907,6158,863,170,35,3471,3377,89,90,745,5799,4923,11333.0
2020-02-13,8300,8724,5918,892,174,37,2565,3258,108,111,642,7895,5688,11626.0
2020-02-14,5687,7204,5106,929,193,42,4546,2546,146,127,632,4003,5102,11886.0
2020-02-15,6230,7836,5224,979,167,101,3297,2856,72,87,710,4261,4907,12098.0
2020-02-16,5635,8510,4942,1078,161,34,2568,3393,152,148,694,4629,5611,12264.0
2020-02-17,5200,6481,4304,1020,185,32,2218,2684,161,189,463,3863,4918,12375.0
2020-02-18,6082,8425,5020,901,170,40,2811,2778,151,147,713,4345,4842,12457.0
2020-02-19,5115,7885,4761,842,128,31,2427,2603,183,201,792,4393,4547,12515.0
2020-02-20,7283,5842,2170,414,145,18,2520,1339,25,216,578,4433,3500,12557.0
2020-02-21,6552,6171,2192,416,145,21,2295,1689,21,208,442,4394,3392,12810.0
2020-02-22,6977,5966,2383,403,126,20,2431,1731,32,221,587,4573,3512,12838.0
2020-02-23,7894,5509,2872,535,141,18,2253,1919,19,253,457,4848,4540,12854.0
2020-02-24,9153,5845,3250,664,152,27,4500,2304,34,352,615,5808,4428,12865.0
2020-02-25,8202,5311,3509,529,175,30,3189,1700,42,229,558,5835,5419,12874.0
2020-02-26,7309,5136,2035,458,95,15,6491,1577,37,177,539,5094,3469,12878.0
2020-02-27,6978,5500,1904,454,216,23,2414,1487,26,296,483,4628,3266,12902.0
2020-02-28,10087,5792,4317,553,182,27,2519,2251,25,250,643,7664,5716,12910.0
2020-02-29,8940,5672,2961,507,159,27,3123,2027,23,226,558,5613,3749,12914.0
2020-03-01,9040,7016,4153,608,229,100,2949,2285,59,201,737,5345,5050,12919.0
2020-03-02,8521,7472,4463,720,179,47,4233,2462,64,251,3342,4874,4148,12923.0
2020-03-03,11854,6649,4462,875,225,32,3914,3106,55,216,1016,6045,6810,12934.0
2020-03-04,6300,6316,4353,700,199,40,3236,2626,64,213,573,4290,5066,12939.0
2020-03-05,6985,7094,4505,667,151,35,5414,2265,89,225,604,4836,4305,12956.0
2020-03-06,7091,5927,4043,654,211,36,2549,2438,44,187,784,4456,5799,12981.0
2020-03-07,7469,7503,4430,773,192,39,2693,2720,41,457,545,5097,6446,12986.0
2020-03-08,14421,7435,5161,874,167,62,4085,2829,80,221,713,5033,4782,12992.0
2020-03-09,11114,7434,5612,837,151,34,3221,3506,100,234,792,5782,4993,12992.0
2020-03-10,7528,10076,7770,1028,215,52,3004,2847,288,100,687,9458,6233,12997.0
2020-03-11,7090,8184,6866,936,238,60,3035,2565,210,100,669,5457,6321,13012.0
2020-03-12,6707,9432,5866,899,174,223,3276,2709,309,92,621,6382,6109,13012.0
2020-03-13,6996,8954,5597,1114,200,43,3990,2598,347,94,763,5504,5975,13015.0
2020-03-14,11439,9526,7364,1079,197,112,3369,2937,421,116,669,5977,5936,13037.0
2020-03-15,5595,10284,5910,986,129,78,2517,2646,360,100,754,4720,5555,13054.0
2020-03-16,5708,11094,5909,879,554,44,2751,3396,355,100,685,7408,6599,13069.0
2020-03-17,5838,9743,5528,861,316,23,3437,3091,369,104,1112,4437,6045,13085.0
2020-03-18,10009,10294,8162,1538,302,66,4680,4553,512,144,897,9732,10007,13106.0
2020-03-19,5872,11530,6381,1077,250,52,3014,3250,515,88,746,6038,7030,13131.0
2020-03-20,7185,4995,1812,308,114,37,1967,1774,52,197,596,3012,1654,13177.0
2020-03-21,5988,6049,2106,373,73,46,2411,1740,17,195,873,3287,1414,13214.0
2020-03-22,6394,6232,1485,325,93,30,2298,1972,78,191,750,3354,1515,13294.0
2020-03-23,7014,8441,1681,311,135,80,2203,1925,190,190,838,4033,1544,13318.0
2020-03-24,32436,15561,4804,718,336,163,8762,5133,349,297,1575,23002,5199,13379.0
2020-03-25,15537,12463,2764,390,247,120,4110,3147,310,200,948,8274,2839,13420.0
2020-03-26,25335,13251,3279,500,205,129,5439,2955,179,219,1175,14306,3410,13497.0
2020-03-27,7213,10132,1977,422,131,110,2917,1947,45,216,914,4853,1839,13544.0
2020-03-28,7654,4798,1732,305,144,58,2069,1707,167,136,401,4169,1858,13600.0
2020-03-29,6859,4447,1649,330,146,41,2071,1469,39,157,352,3720,1558,13643.0
2020-03-30,8724,5179,2824,488,160,27,2642,2510,22,199,556,5019,3982,13677.0
2020-03-31,6926,4672,2080,391,129,26,3708,1538,19,176,462,4121,3094,13723.0
2020-04-01,7713,5277,3131,558,133,24,2677,2209,19,197,518,4021,3308,13753.0
2020-04-02,7431,5899,3029,680,125,21,2722,2331,31,189,607,4336,3181,13787.0
2020-04-03,7740,7056,2478,668,151,16,2247,1710,12,161,512,4667,2638,13821.0
2020-04-04,9954,5833,2373,10147,399,35,4894,30263,35650,596,11362,9716,10617,13835.0
2020-04-05,9379,5610,2454,10471,388,37,4192,27875,39546,2797,10963,10000,6430,13865.0
2020-04-06,7335,5342,2598,458,98,18,2835,2095,17,189,456,4286,3520,13904.0
2020-04-07,7965,5069,2653,455,130,18,2646,1857,11,247,542,4112,3124,13936.0
2020-04-08,9346,29860,2027,699,96,37,2275,1938,13,128,550,4429,2613,14001.0
2020-04-09,7747,13231,2436,516,107,20,2404,2170,48,141,490,4154,3050,14062.0
