,date,mask,hand_sanitizer,disinfectant,thermometer,vitamin,cases_pdf,cases_cdf
0,2020-01-01,"[2395, 46, 854, 198]","[573, 9, 262, 58]","[732, 15, 332, 102]","[6306, 95, 1059, 368]","[482, 0, 212, 0]",0,0
1,2020-01-02,"[3223, 23, 821, 159]","[534, 7, 263, 62]","[757, 15, 370, 89]","[4815, 74, 1080, 278]","[575, 0, 290, 0]",0,0
2,2020-01-03,"[3882, 50, 764, 235]","[779, 8, 292, 56]","[647, 12, 288, 69]","[8721, 263, 1459, 434]","[486, 0, 295, 0]",0,0
3,2020-01-04,"[3305, 57, 825, 225]","[774, 6, 274, 62]","[1222, 19, 328, 74]","[5586, 67, 1056, 266]","[447, 7, 262, 0]",0,0
4,2020-01-05,"[3866, 49, 765, 204]","[1297, 37, 411, 92]","[1532, 34, 386, 105]","[5864, 81, 1053, 251]","[488, 7, 301, 0]",0,0
5,2020-01-06,"[2590, 25, 745, 283]","[2070, 22, 462, 242]","[2063, 37, 480, 313]","[6756, 79, 1478, 680]","[506, 7, 266, 37]",0,0
6,2020-01-07,"[3477, 137, 767, 391]","[2036, 25, 457, 198]","[6834, 172, 545, 344]","[5022, 134, 1158, 405]","[463, 6, 299, 47]",0,0
7,2020-01-08,"[3022, 40, 910, 263]","[1420, 22, 502, 200]","[7104, 82, 675, 352]","[8110, 447, 1584, 735]","[697, 4, 347, 34]",0,0
8,2020-01-09,"[2137, 59, 701, 155]","[612, 7, 203, 38]","[3880, 47, 319, 145]","[4172, 48, 944, 223]","[657, 10, 311, 30]",0,0
9,2020-01-10,"[2029, 14, 533, 107]","[714, 14, 211, 53]","[743, 8, 223, 63]","[4103, 56, 891, 213]","[706, 13, 269, 35]",0,0
10,2020-01-11,"[2257, 33, 534, 199]","[844, 11, 229, 44]","[655, 3, 264, 72]","[2211, 19, 701, 119]","[779, 6, 221, 57]",0,0
11,2020-01-12,"[2227, 20, 444, 168]","[665, 5, 188, 56]","[1735, 25, 260, 104]","[2343, 29, 716, 123]","[2342, 8, 204, 47]",0,0
12,2020-01-13,"[2649, 31, 510, 201]","[809, 7, 207, 56]","[941, 15, 262, 85]","[1743, 29, 660, 125]","[465, 7, 172, 74]",0,0
13,2020-01-14,"[1445, 13, 426, 105]","[1060, 10, 210, 59]","[3129, 115, 279, 212]","[2163, 19, 699, 94]","[588, 13, 227, 45]",0,0
14,2020-01-15,"[1351, 20, 409, 94]","[773, 10, 158, 44]","[621, 2, 171, 51]","[1987, 61, 658, 104]","[617, 115, 175, 20]",0,0
15,2020-01-16,"[892, 6, 243, 34]","[826, 14, 169, 44]","[603, 1, 176, 37]","[2323, 28, 784, 106]","[833, 19, 166, 47]",0,0
16,2020-01-17,"[836, 4, 236, 31]","[423, 6, 110, 35]","[651, 8, 127, 42]","[1626, 21, 452, 72]","[446, 6, 107, 144]",0,0
17,2020-01-18,"[883, 4, 186, 25]","[377, 2, 60, 13]","[604, 7, 90, 38]","[1295, 8, 388, 47]","[162, 13, 77, 32]",0,0
18,2020-01-19,"[737, 5, 252, 20]","[283, 1, 68, 9]","[529, 4, 68, 31]","[1344, 8, 419, 36]","[166, 34, 75, 54]",0,0
19,2020-01-20,"[7848, 2221, 4851, 479]","[200, 8, 70, 11]","[336, 6, 158, 17]","[1111, 14, 401, 23]","[162, 3, 81, 47]",21,21
